,Title,Availability,Rating,Price_in_pounds,Price_in_rupiah
0,A Light in the ...,Available,3,51.77,1035400
1,Tipping the Velvet,Available,1,53.74,1074800
2,Soumission,Available,1,50.1,1002000
3,Sharp Objects,Available,4,47.82,956400
4,Sapiens: A Brief History ...,Available,5,54.23,1084600
5,The Requiem Red,Available,1,22.65,453000
6,The Dirty Little Secrets ...,Available,4,33.34,666800
7,The Coming Woman: A ...,Available,3,17.93,358600
8,The Boys in the ...,Available,4,22.6,452000
9,The Black Maria,Available,1,52.15,1043000
10,Starving Hearts (Triangular Trade ...,Available,2,13.99,279800
11,Shakespeare's Sonnets,Available,4,20.66,413200
12,Set Me Free,Available,5,17.46,349200
13,Scott Pilgrim's Precious Little ...,Available,5,52.29,1045800
14,Rip it Up and ...,Available,5,35.02,700400
15,Our Band Could Be ...,Available,3,57.25,1145000
16,Olio,Available,1,23.88,477600
17,Mesaerion: The Best Science ...,Available,1,37.59,751800
18,Libertarianism for Beginners,Available,2,51.33,1026600
19,It's Only the Himalayas,Available,2,45.17,903400
20,In Her Wake,Available,1,12.84,256800
21,How Music Works,Available,2,37.32,746400
22,Foolproof Preserving: A Guide ...,Available,3,30.52,610400
23,Chase Me (Paris Nights ...,Available,5,25.27,505400
24,Black Dust,Available,5,34.53,690600
25,Birdsong: A Story in ...,Available,3,54.64,1092800
26,America's Cradle of Quarterbacks: ...,Available,3,22.5,450000
27,Aladdin and His Wonderful ...,Available,3,53.13,1062600
28,Worlds Elsewhere: Journeys Around ...,Available,5,40.3,806000
29,Wall and Piece,Available,4,44.18,883600
30,The Four Agreements: A ...,Available,5,17.66,353200
31,The Five Love Languages: ...,Available,3,31.05,621000
32,The Elephant Tree,Available,5,23.82,476400
33,The Bear and the ...,Available,1,36.89,737800
34,Sophie's World,Available,5,15.94,318800
35,Penny Maybe,Available,3,33.29,665800
36,Maude (1883-1993):She Grew Up ...,Available,2,18.02,360400
37,"In a Dark, Dark ...",Available,1,19.63,392600
38,Behind Closed Doors,Available,4,52.22,1044400
39,You can't bury them ...,Available,2,33.63,672600
40,Slow States of Collapse: ...,Available,3,57.31,1146200
41,Reasons to Stay Alive,Available,2,26.41,528200
42,Private Paris (Private #10),Available,5,47.61,952200
43,#HigherSelfie: Wake Up Your ...,Available,5,23.11,462200
44,Without Borders (Wanderlove #1),Available,2,45.07,901400
45,When We Collided,Available,1,31.77,635400
46,"We Love You, Charlie ...",Available,5,50.27,1005400
47,Untitled Collection: Sabbath Poems ...,Available,4,14.27,285400
